"team_abbr","team_name","venue_name","season","source_primary","source_secondary","verified_on"
"ATH","Athletics","Sutter Health Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"ATL","Atlanta Braves","Truist Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"AZ","Arizona Diamondbacks","Chase Field",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"BAL","Baltimore Orioles","Oriole Park at Camden Yards",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"BOS","Boston Red Sox","Fenway Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"CHC","Chicago Cubs","Wrigley Field",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"CHW","Chicago White Sox","Rate Field",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"CIN","Cincinnati Reds","Great American Ball Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"CLE","Cleveland Guardians","Progressive Field",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"COL","Colorado Rockies","Coors Field",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"DET","Detroit Tigers","Comerica Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"HOU","Houston Astros","Daikin Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"KC","Kansas City Royals","Kauffman Stadium",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"LAA","Los Angeles Angels","Angel Stadium",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"LAD","Los Angeles Dodgers","Dodger Stadium",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"MIA","Miami Marlins","LoanDepot Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"MIL","Milwaukee Brewers","American Family Field",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"MIN","Minnesota Twins","Target Field",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"NYM","New York Mets","Citi Field",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"NYY","New York Yankees","Yankee Stadium",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"PHI","Philadelphia Phillies","Citizens Bank Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"PIT","Pittsburgh Pirates","PNC Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"SDP","San Diego Padres","Petco Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"SEA","Seattle Mariners","T-Mobile Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"SFG","San Francisco Giants","Oracle Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"STL","St. Louis Cardinals","Busch Stadium",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"TBR","Tampa Bay Rays","Tropicana Field",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"TEX","Texas Rangers","Globe Life Field",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"TOR","Toronto Blue Jays","Rogers Centre",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
"WSH","Washington Nationals","Nationals Park",2026,"https://www.mlb.com/team","https://en.wikipedia.org/wiki/List_of_current_Major_League_Baseball_stadiums","2026-03-01"
