"park_era_id","venue_id","venue_name","home_team","component","delta_overall","pf_index_overall","park_se","n_bbe"
"home_bal__wall_deep",,,"BAL","xbh_resid",-0.0132204863256717,231.061576591981,0.00273797770705817,15891
"home_stl__base",,,"STL","xbh_resid",-0.0121953025902184,220.898395499009,0.00190888715290169,55617
"home_atl__base",,,"ATL","xbh_resid",-0.0111983952141276,211.015532705004,0.00324225261356919,10657
"home_mia__base",,,"MIA","xbh_resid",-0.00895713789434405,188.796779881308,0.00192949547989722,53776
"home_sfg__base",,,"SFG","xbh_resid",-0.00843867940681867,183.657030472799,0.0019252615030457,53932
"home_nym__base",,,"NYM","xbh_resid",-0.00825990833843785,181.884779627115,0.00193226592481512,52955
"home_sea__base",,,"SEA","xbh_resid",-0.0066669931554921,166.093380573301,0.0019106444926627,52331
"home_det__base",,,"DET","xbh_resid",-0.00608050080787285,160.279176024044,0.00189078420660498,55730
"home_ath__base",,,"ATH","xbh_resid",-0.00521214994586772,151.670761007691,0.00194370758839498,49918
"home_laa__base",,,"LAA","xbh_resid",-0.00507138461738645,150.275280884965,0.00189670190571241,54193
"home_sdp__base",,,"SDP","xbh_resid",-0.00497380348297991,149.307908202455,0.00194011595671771,52059
"home_chw__base",,,"CHW","xbh_resid",-0.00407925195861551,140.439752354187,0.00189478053758537,55218
"home_pit__base",,,"PIT","xbh_resid",-0.00386824302682901,138.347910753683,0.001907798262678,55218
"home_wsh__base",,,"WSH","xbh_resid",-0.00335559476173638,133.265761110692,0.00223958697914143,56036
"home_nyy__base",,,"NYY","xbh_resid",-0.00240491471775538,123.841173971508,0.00190964996167341,52547
"home_kcr__base",,,"KCR","xbh_resid",-0.00201994872966987,120.024805338018,0.00188102523662302,57401
"home_atl__suntrust",,,"ATL","xbh_resid",-0.00180914520677953,117.935000063041,0.00204939550490052,42606
"home_tbr__steinbrenner",,,"TBR","xbh_resid",-0.00116968091871199,111.595657038597,0.00395731977627826,5793
"home_tbr__base",,,"TBR","xbh_resid",-0.00108798676732093,110.785780305177,0.00196302009454812,46546
"home_chc__base",,,"CHC","xbh_resid",-0.000839204559101122,108.319472513307,0.00192430691328169,52264
"home_tex__globe_life",,,"TEX","xbh_resid",-0.000599263413898183,105.940810790514,0.0023113472393382,26426
"home_min__base",,,"MIN","xbh_resid",-8.38970584548089e-05,100.831715300152,0.00188916749224192,55678
"home_phi__base",,,"PHI","xbh_resid",0.00218307348206131,78.35805390763,0.00193352200964625,53852
"home_cle__base",,,"CLE","xbh_resid",0.00218478198343613,78.3411166423678,0.00189823608420217,54645
"home_bal__base",,,"BAL","xbh_resid",0.00247428058126257,75.4711660431508,0.00217871071283941,34570
"home_tor__base",,,"TOR","xbh_resid",0.00415131816696097,58.845817733623,0.00191567450914566,51661
"home_mil__base",,,"MIL","xbh_resid",0.0042691358363912,57.6778297242913,0.00192857542877715,52079
"home_lad__base",,,"LAD","xbh_resid",0.00440130253396863,56.367592314657,0.00194026344097023,51940
"home_hou__base",,,"HOU","xbh_resid",0.00450052006831467,55.3839971460201,0.00190752529661847,54058
"home_bal__wall_medium",,,"BAL","xbh_resid",0.00513116366555871,49.1320982304752,0.00398861200641808,5305
"home_tor__buffalo",,,"TOR","xbh_resid",0.00524492870093058,48.0042860963688,0.00542573595742724,1328
"home_tex__base",,,"TEX","xbh_resid",0.0058976016624793,41.533998602222,0.00229867891214927,28673
"home_az__base",,,"AZ","xbh_resid",0.00723585892666741,28.2671563235395,0.00224746826459735,56195
"home_cin__base",,,"CIN","xbh_resid",0.00845302496982122,16.2007544786847,0.00191908896141448,53554
"home_bos__base",,,"BOS","xbh_resid",0.0092449727298717,8.3497632629414,0.0018855629515328,56567
"home_ath__sutter_health",,,"ATH","xbh_resid",0.0137153351754898,-35.967271347397,0.00397119688923339,5527
"home_tor__dunedin",,,"TOR","xbh_resid",0.0137847210903865,-36.6551301126207,0.00537799510242531,1492
"home_col__base",,,"COL","xbh_resid",0.0187198533332888,-85.5796701417364,0.00190289515867951,59900
